condition,symptoms,causes,warnings,recommendations
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., irritability","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., body aches","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., sweating","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"shortness of breath, coughing at night, wheezing, chest tightness, breathing difficulty, irritability",genetic and environmental factors,persistent high fever requires medical attention,consult a healthcare professional
Pneumonia,"productive cough, fever, chest pain, fatigue, difficulty breathing, dry throat",inflammation of airways,persistent high fever requires medical attention,consult a healthcare professional
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Anemia,"Patient experiences fatigue, pale skin, shortness of breath, and dizziness., mild headache",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Common Cold,"runny nose, sore throat, mild fatigue, nasal congestion, mild cough, irritability","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Diabetes,"blurred vision, slow healing wounds, frequent urination, increased thirst, fatigue, fatigue",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., runny nose","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Diabetes,"increased thirst, blurred vision, slow healing wounds, frequent urination, nausea",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Common Cold,"mild cough, sore throat, mild fatigue, sneezing, dry throat","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Influenza,"chills, fatigue, dry cough, loss of appetite",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Asthma,"shortness of breath, coughing at night, wheezing, chest tightness, breathing difficulty, body aches",genetic and environmental factors,persistent high fever requires medical attention,consult a healthcare professional
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Depression,"Feelings of hopelessness with low energy, difficulty concentrating, and appetite changes., irritability","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Common Cold,"sneezing, nasal congestion, mild cough, runny nose, blurred vision","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Common Cold,"runny nose, sore throat, mild fatigue, sweating","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Bronchitis,"chest discomfort, fatigue, persistent cough, mucus production, sweating",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
